
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////
//
//						HEROES
//
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////

///////////////////////////////////////////////////////
// Aeronaut
///////////////////////////////////////////////////////

	"npc_dota_hero_shredder"    "Aeronaut"
	"DOTA_Tooltip_ability_aeronaut_aerial_ace_bonus_attack_speed"    "BONUS ATTACK SPEED:"
	"DOTA_Tooltip_ability_aeronaut_aerial_ace_bonus_damage"    "BONUS DAMAGE:"
	"DOTA_Tooltip_ability_aeronaut_aerial_ace_slow"    "%SLOW:"
	"DOTA_Tooltip_ability_aeronaut_aerial_ace_slow_duration"    "SLOW DURATION:"
		"DOTA_Tooltip_modifier_aerial_ace_slow"    "Slow"
		"DOTA_Tooltip_modifier_aerial_ace_slow_description"    "Attacked by an airborne Aeronaut, alas!"

	"DOTA_Tooltip_ability_aeronaut_hidden_engine"    "Hidden Engine"
	"DOTA_Tooltip_ability_aeronaut_hidden_engine_Description"    ""

	"DOTA_Tooltip_ability_aeronaut_land"    "Land"
	"DOTA_Tooltip_ability_aeronaut_land_Description"    "Immediately land if flying due to Upwind."

	"DOTA_Tooltip_ability_aeronaut_air_raid"    "Air Raid"
	"DOTA_Tooltip_ability_aeronaut_air_raid_Description"    "Gundalar fires attacks at random enemies within a large radius. The attacks fully preserve UAMs and procs, and deal full damage. If he is stunned or disarmed, the attacks will not fire."
	"DOTA_Tooltip_ability_aeronaut_air_raid_interval"    "INTERVAL:"
	"DOTA_Tooltip_ability_aeronaut_air_raid_duration"    "DURATION:"
	"DOTA_Tooltip_ability_aeronaut_air_raid_radius"    "RADIUS:"
		"DOTA_Tooltip_modifier_air_raid"    "Air Raid"
		"DOTA_Tooltip_modifier_air_raid_description"    "Attacking random enemies in a large radius."

///////////////////////////////////////////////////////
// Aether
///////////////////////////////////////////////////////

	"npc_dota_hero_wisp"    "Aether"
	"npc_dota_hero_wisp_bio"    ""
	"npc_dota_hero_wisp_hype"    "A support with a set of skills designed to save allies and annoy enemies, Aether can drag an ally out of a bad situation with Teleport, deal damage and disjoint projectiles with Disrupt, place buffing Monoliths with Monolith, and suck all enemies and allies in the immediate area into a dimensional safe zone."


	"DOTA_Tooltip_ability_special_bonus_aether_1"    "+100 Disrupt Damage"

	"DOTA_Tooltip_ability_special_bonus_aether_2"    "-50% Teleport Delay Time"

	"DOTA_Tooltip_ability_special_bonus_aether_3"    "-60s Reality Shift Cooldown"

	"DOTA_Tooltip_ability_special_bonus_aether_4"    "+25 Monolith Regen/Drain"

	"DOTA_Tooltip_ability_aether_teleport"    "Teleport"
	"DOTA_Tooltip_ability_aether_teleport_description"    "The targeted allied unit is teleported to Aether's position after a short delay.  Aether can target herself to teleport to her Monolith, but the delay time is doubled.  A silenced unit will not be transported."
	"DOTA_Tooltip_ability_aether_teleport_Note0"    "Teleports the unit to the position Aether was in when the spell was cast, not when the spell ends."
	"DOTA_Tooltip_ability_aether_teleport_delay"    "DELAY:"
		"DOTA_Tooltip_modifier_teleport_start_up"    "Transporting..."
		"DOTA_Tooltip_modifier_teleport_start_up_description"    ""

	"DOTA_Tooltip_ability_aether_disrupt"    "Disrupt"
	"DOTA_Tooltip_ability_aether_disrupt_description"    "Aether unleashes a blast of Rift energies, dealing damage and slowing enemies, and disjointing projectiles for all nearby allies.  Monoliths will cast this ability as well."
	"DOTA_Tooltip_ability_aether_disrupt_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_aether_disrupt_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_aether_disrupt_duration"    "SLOW DURATION:"
	"DOTA_Tooltip_ability_aether_disrupt_slow"    "%SLOW:"

	"DOTA_Tooltip_ability_aether_monolith"    "Monolith"
	"DOTA_Tooltip_ability_aether_monolith_description"    "Aether summons forth a Monolith that buffs allies and debuffs enemies, granting vision in a small area. Monoliths cast Disrupt when Aether does.<br/><br/>Upgradable by Aghanim's Scepter."
	"DOTA_Tooltip_ability_aether_monolith_aghanim_description"    "Allows up to 3 Monoliths to be placed. They must be a minimum distance apart."
	"DOTA_Tooltip_ability_aether_monolith_monolith_time"    "MONOLITH TIME:"
	"DOTA_Tooltip_ability_aether_monolith_monolith_speed"    "%SPEED BONUS:"
	"DOTA_Tooltip_ability_aether_monolith_monolith_slow"    "%SLOW:"
	"DOTA_Tooltip_ability_aether_monolith_monolith_manaregen"    "MANA REGEN:"
	"DOTA_Tooltip_ability_aether_monolith_monolith_healthregen"    "HEALTH REGEN:"
		"DOTA_Tooltip_modifier_monolith_speed_unit"    "Monolith"
		"DOTA_Tooltip_modifier_monolith_speed_unit_description"    "Gaining movespeed."
		"DOTA_Tooltip_modifier_monolith_slow_unit"    "Monolith"
		"DOTA_Tooltip_modifier_monolith_slow_unit_description"    "Being slowed by Aether's Monolith."

	"DOTA_Tooltip_ability_aether_reality_shift"    "Reality Shift"
	"DOTA_Tooltip_ability_aether_reality_shift_description"    "Aether drags all nearby units from this plane to the next temporarily, returning after the duration ends, and damaging and stunning enemy units within range that were not affected by the initial cast.  Units affected are out of game and invulnerable for the duration."
	"DOTA_Tooltip_ability_aether_reality_shift_Note0"    "Does not affect buildings."
	"DOTA_Tooltip_ability_aether_reality_shift_Note1"    "Has a delay time of 0.2s, but an instant cast time."
	"DOTA_Tooltip_ability_aether_reality_shift_duration"    "DURATION:"
	"DOTA_Tooltip_ability_aether_reality_shift_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_aether_reality_shift_stun"    "STUN:"
	"DOTA_Tooltip_ability_aether_reality_shift_damage"    "DAMAGE:"
		"DOTA_Tooltip_modifier_reality_shift_unit"    "Reality Shift"
		"DOTA_Tooltip_modifier_reality_shift_unit_description"    ""

///////////////////////////////////////////////////////
// Alexander
///////////////////////////////////////////////////////

	"npc_dota_hero_dragon_knight"    "Alexander"
	"npc_dota_hero_dragon_knight_bio"    ""
	"npc_dota_hero_dragon_knight_hype"    "A servant of her Radiance, former paladin and wielder of the legendary Godfall, Alexander is a tanky and difficult to deal with carry that can buff allies, Break and Silence enemies, heal himself and demolish those who would dare stand against him with his Ultimate."


	"DOTA_Tooltip_ability_special_bonus_alexander_1"    "+7 Elandra's Blessing Armor"

	"DOTA_Tooltip_ability_special_bonus_alexander_2"    "Radiant Deals 225 Magical Damage"
	"DOTA_Tooltip_ability_special_bonus_alexander_2_Description"    "Deals the damage instantly in the effective radius."

	"DOTA_Tooltip_ability_special_bonus_alexander_3"    "+40% Godfall Damage"

	"DOTA_Tooltip_ability_special_bonus_alexander_4"    "Radiant Heals Nearby Allies (50%)"
	"DOTA_Tooltip_ability_special_bonus_alexander_4_Description"    "Restores the same percentage as it does for Alexander, but halved, and in the effective range."

	"DOTA_Tooltip_ability_alexander_soulseal"    "Soulseal"
	"DOTA_Tooltip_ability_alexander_soulseal_description"    "Seals away the target's soul with the power of the Godslayer to slow, prevent them from casting spells, and break their passives for a short time."
	"DOTA_Tooltip_ability_alexander_soulseal_Note0"    "Purgable."
	"DOTA_Tooltip_ability_alexander_soulseal_duration"    "DURATION:"
	"DOTA_Tooltip_ability_alexander_soulseal_slow"    "%SLOW:"
		"DOTA_Tooltip_modifier_soulseal"    "Soulseal"
		"DOTA_Tooltip_modifier_soulseal_description"    "Silenced and passives are disabled."

	"DOTA_Tooltip_ability_alexander_elandras_blessing"    "Elandra's Blessing"
	"DOTA_Tooltip_ability_alexander_elandras_blessing_Description"    "Blesses the target ally with bonus attack damage and Armor. When they are struck by an enemy, the attacker takes Magical damage based on the blessed ally's main Attribute."
	"DOTA_Tooltip_ability_alexander_elandras_blessing_bonus_damage"    "BONUS DAMAGE:"
	"DOTA_Tooltip_ability_alexander_elandras_blessing_bonus_armor"    "BONUS ARMOR:"
	"DOTA_Tooltip_ability_alexander_elandras_blessing_duration"    "DURATION:"
	"DOTA_Tooltip_ability_alexander_elandras_blessing_reflect_damage"    "%ATTRIBUTE DAMAGE:"
		"DOTA_Tooltip_modifier_elandras_blessing"    "Elandra's Blessing"
		"DOTA_Tooltip_modifier_elandras_blessing_description"    "Receiving bonus damage and Armor, and dealing damage based on your main Attribute when attacked."

	"DOTA_Tooltip_ability_alexander_radiant"    "Radiant"
	"DOTA_Tooltip_ability_alexander_radiant_description"    "Alexander is bathed in an unearthly light, a magick used oft by Paladins.  Causes opponents to miss attacks, as he rapidly recovers health over time."
	"DOTA_Tooltip_ability_alexander_radiant_duration"    "DURATION:"
	"DOTA_Tooltip_ability_alexander_radiant_regen"    "REGEN:"
	"DOTA_Tooltip_ability_alexander_radiant_miss"    "%MISS CHANCE:"
	"DOTA_Tooltip_ability_alexander_radiant_radius"    "RADIUS:"
		"DOTA_Tooltip_modifier_radiant"    "Radiant"
		"DOTA_Tooltip_modifier_radiant_description"    "Recovering a percentage of your Health over time."
		"DOTA_Tooltip_modifier_radiant_aura"    "Radiant"
		"DOTA_Tooltip_modifier_radiant_aura_description"    "Partially blinded, missing some attacks."

	"DOTA_Tooltip_ability_alexander_godfall"    "Godfall"
	"DOTA_Tooltip_ability_alexander_godfall_description"    "Unleashing the true power of the Godslayer, after a short channeling Duration, the next attack Alexander makes deals bonus Pure damage as a percentage of his attack damage, healing him for the damage dealt if the target was a Hero. This skill purges positive buffs from the enemy. Deals 5x damage to illusions.\n\nUpgradable by Aghanim's Scepter."
	"DOTA_Tooltip_ability_alexander_godfall_aghanim_description"    "Reduces cooldown, and Godfall applies Soulseal to all enemies within a 325 radius when the attack lands."
	"DOTA_Tooltip_ability_alexander_godfall_duration"    "RETAIN BUFF DURATION:"
	"DOTA_Tooltip_ability_alexander_godfall_damage"    "%DAMAGE OUTPUT:"
	"DOTA_Tooltip_ability_alexander_godfall_scepter_radius"    "%SCEPTER SOULSEAL RADIUS:"
	"DOTA_Tooltip_ability_alexander_godfall_scepter_cooldown"    "SCEPTER COOLDOWN:"
		"DOTA_Tooltip_modifier_godfall"    "Godfall"
		"DOTA_Tooltip_modifier_godfall_description"    "The next attack made will deal Pure damage as a bonus."

///////////////////////////////////////////////////////
// Alroth
///////////////////////////////////////////////////////

	"npc_dota_hero_doom_bringer"    "Alroth"
	"npc_dota_hero_doom_bringer_bio"    ""
	"npc_dota_hero_doom_bringer_hype"    "A commander of fire and ash, the being known as Alroth brings a great deal to the table when it comes to Magical damage. Boasting an array of abilities like the area of effect damage over time Maelstrom, instant cast Health draining explosion Energy Burst, Magic Resistance breaking Shatter, and powerful close range DoT Solwave, Alroth is capable of dealing with enemies his way, and no one else's."


	"DOTA_Tooltip_ability_special_bonus_alroth_1"    "+0.4 Shatter Multiplier"

	"DOTA_Tooltip_ability_special_bonus_alroth_2"    "-1s Energy Burst Cooldown"

	"DOTA_Tooltip_ability_special_bonus_alroth_3"    "Raze 3% Max HP DPS"

	"DOTA_Tooltip_ability_special_bonus_alroth_4"    "-12s Raze Cooldown"

	"DOTA_Tooltip_ability_alroth_raze"    "Raze"
	"DOTA_Tooltip_ability_alroth_raze_description"    "Alroth creates an unstable maelstrom that deals damage over time to units caught within it."
	"DOTA_Tooltip_ability_alroth_raze_Note0"    "Deals damage immediately on cast, then every second thereafter until it finishes."
	"DOTA_Tooltip_ability_alroth_raze_damage_per_second"    "DAMAGE PER SECOND:"
	"DOTA_Tooltip_ability_alroth_raze_duration"    "DURATION:"
	"DOTA_Tooltip_ability_alroth_raze_slow"    "%SLOW:"
	"DOTA_Tooltip_ability_alroth_raze_slow_duration"    "SLOW DURATION:"

	"DOTA_Tooltip_ability_alroth_energy_burst"    "Energy Burst"
	"DOTA_Tooltip_ability_alroth_energy_burst_description"    "Creates a blast of energy that deals large damage to nearby enemies, as Alroth takes half the damage he dealt."
	"DOTA_Tooltip_ability_alroth_energy_burst_Note0"    "Prevents Alroth's health from dropping below 1 for 0.2s."
	"DOTA_Tooltip_ability_alroth_energy_burst_damage"    "DAMAGE:"

	"DOTA_Tooltip_ability_alroth_shatter"    "Shatter"
	"DOTA_Tooltip_ability_alroth_shatter_description"    "Alroth's strikes break through the enemy's defenses, causing them to lose Magic Resistance and take bonus Magical damage based upon his attack damage.  Enemies hit by this will lose Mana equal to double the damage taken."
	"DOTA_Tooltip_ability_alroth_shatter_damage_mult"    "ATTACK DAMAGE MULTIPLIER:"
	"DOTA_Tooltip_ability_alroth_shatter_duration"    "DURATION:"
	"DOTA_Tooltip_ability_alroth_shatter_mres_reduction"    "%MAGIC RESISTANCE REDUCTION:"
	"DOTA_Tooltip_ability_alroth_shatter_slow"    "%SLOW:"
		"DOTA_Tooltip_modifier_shatter"    "Shatter"
		"DOTA_Tooltip_modifier_shatter_description"    "Slowed and Magic Resistance is reduced by a sizeable amount."

	"DOTA_Tooltip_ability_alroth_model_change"    "Alroth Model Change"
	"DOTA_Tooltip_ability_alroth_model_change_description"    ""

	"DOTA_Tooltip_ability_alroth_solwave"    "Solcharge"
	"DOTA_Tooltip_ability_alroth_solwave_description"    "Gathering the energies of the Planes, Alroth surrounds himself with an aura of pure devastation, dealing massive damage over time to nearby enemies. Lasts 4s."
	"DOTA_Tooltip_ability_alroth_solwave_damage_per_second"    "DAMAGE PER SECOND:"
	"DOTA_Tooltip_ability_alroth_solwave_duration"    "DURATION:"
		"DOTA_Tooltip_modifier_solwave"    "Solwave"
		"DOTA_Tooltip_modifier_solwave_description"    "Dealing damage over time to nearby enemies and yourself."

///////////////////////////////////////////////////////
// 
///////////////////////////////////////////////////////

	"npc_dota_hero_ancient_apparition"    ""


	"DOTA_Tooltip_ability_example_ability"    "Detonation"
	"DOTA_Tooltip_ability_example_ability_description"    "Detonator channels a charge and releases an explosion around the caster if the channel is successful, dealing damage and knocking back all enemies in range of the explosion"
	"DOTA_Tooltip_ability_example_ability_Lore"    ""
	"DOTA_Tooltip_ability_example_ability_duration"    "DURATION:"
	"DOTA_Tooltip_ability_example_ability_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_example_ability_distance"    "KNOCKBACK DISTANCE:"
	"DOTA_Tooltip_ability_example_ability_height"    "KNOCKBACK HEIGHT:"

///////////////////////////////////////////////////////
// 
///////////////////////////////////////////////////////

	"npc_dota_hero_windrunner"    ""


///////////////////////////////////////////////////////
// 
///////////////////////////////////////////////////////

	"npc_dota_hero_lone_druid"    ""
	"npc_dota_hero_lone_druid_hype"    "The Artificer is a man of means, and many means he has. Able to transform enemies or allies into statues with Reshape, purge off buffs with Naturalise, deal massive Magical damage on each attack with Unmaking, and create an illusory Replica of a target."


	"DOTA_Tooltip_ability_artificer_reshape"    "Reshape"
	"DOTA_Tooltip_ability_artificer_reshape_Description"    "Summoning voidal energies to do his bidding, the Artificer quickly transmogrifies the target enemy into an immobile statue. The statue takes half damage from everything."
	"DOTA_Tooltip_ability_artificer_reshape_duration"    "DURATION:"

	"DOTA_Tooltip_ability_artificer_naturalise"    "Naturalise"
	"DOTA_Tooltip_ability_artificer_naturalise_Description"    "The Artificer temporarily reduces the target's form to their natural state, causing them to lose all bonus Armor and Magic Resistance from abilities and items, and a flat amount of attack damage."
	"DOTA_Tooltip_ability_artificer_naturalise_duration"    "DURATION:"
	"DOTA_Tooltip_ability_artificer_naturalise_attack_damage_reduction"    "ATTACK DAMAGE REDUCTION:"

	"DOTA_Tooltip_ability_artificer_unmaking"    "Unmaking"
	"DOTA_Tooltip_ability_artificer_unmaking_Description"    "The Artificer lobs Nothingness at the target enemy, eating away at their very existence. Deals bonus Magical damage and then Magical damage over time based upon the target's Current Health."
	"DOTA_Tooltip_ability_artificer_unmaking_duration"    "DURATION:"
	"DOTA_Tooltip_ability_artificer_unmaking_damage"    "%CURRENT HEALTH DAMAGE:"
	"DOTA_Tooltip_ability_artificer_unmaking_base_damage"    "BASE DAMAGE:"

	"DOTA_Tooltip_ability_artificer_replica"    "Replica"
	"DOTA_Tooltip_ability_artificer_replica_Description"    "The Artificer moulds a near-perfect replica of the target ally or enemy. Creates an illusion copy of the target ally or enemy Hero, but it cannot cast spells or use items.\n\nUpgradable by Aghanim's Scepter."
	"DOTA_Tooltip_ability_artificer_replica_aghanim_Description"    "Causes enemies killed by Artificer to spawn weaker Replicas automatically."
	"DOTA_Tooltip_ability_artificer_replica_illusion_duration"    "ILLUSION DURATION:"
	"DOTA_Tooltip_ability_artificer_replica_illusion_damage_tooltip"    "%OUTGOING DAMAGE:"
	"DOTA_Tooltip_ability_artificer_replica_illusion_incoming_tooltip"    "%INCOMING DAMAGE:"

///////////////////////////////////////////////////////
// Astaroth
///////////////////////////////////////////////////////

	"npc_dota_hero_antimage"    "Astaroth"
	"npc_dota_hero_antimage_bio"    ""
	"npc_dota_hero_antimage_hype"    "A late game carry, Astaroth's job is to hit you five times with his Black Insignia to deal his damage. What he lacks in sturdiness he more than makes up for in spells, with access to a slow that activates upon the target taking damage (Pain Curse), that transforms the target into a walking bomb (Overwhelm), and a devastating Ultimate that does its best to erase their existence (Erase)."


	"DOTA_Tooltip_ability_special_bonus_astaroth_1"    "+20 Pain Curse Damage"

	"DOTA_Tooltip_ability_special_bonus_astaroth_2"    "+1s Black Insignia Duration"

	"DOTA_Tooltip_ability_special_bonus_astaroth_3"    "Overwhelm No Cooldown"

	"DOTA_Tooltip_ability_special_bonus_astaroth_4"    "+30 Black Insignia Bonus Damage"

	"DOTA_Tooltip_ability_astaroth_overwhelm"    "Overwhelm"
	"DOTA_Tooltip_ability_astaroth_overwhelm_description"    "Astaroth forces energies into the target unit.  After 2s, the unit creates an explosion that deals large Magical damage to itself and the units around it."
	"DOTA_Tooltip_ability_astaroth_overwhelm_duration"    "DELAY:"
	"DOTA_Tooltip_ability_astaroth_overwhelm_radius"    "RADIUS:"
		"DOTA_Tooltip_modifier_overwhelm"    "Overwhelm"
		"DOTA_Tooltip_modifier_overwhelm_description"    ""

	"DOTA_Tooltip_ability_astaroth_pain_curse"    "Pain Curse"
	"DOTA_Tooltip_ability_astaroth_pain_curse_description"    "Afflicts the target unit with a curse that lowers their pain threshold. Causes them to be slowed for a short time, and take bonus damage, whenever they are affected by a damage instance. Has an internal cooldown on the slow."
	"DOTA_Tooltip_ability_astaroth_pain_curse_duration"    "DURATION:"
	"DOTA_Tooltip_ability_astaroth_pain_curse_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_astaroth_pain_curse_slow"    "%SLOW:"
	"DOTA_Tooltip_ability_astaroth_pain_curse_slow_duration"    "SLOW DURATION:"
		"DOTA_Tooltip_modifier_astaroth_pain_curse"    "Pain Curse"
		"DOTA_Tooltip_modifier_astaroth_pain_curse_description"    "Taking bonus damage and being slowed when damage is taken."
		"DOTA_Tooltip_modifier_astaroth_pain_curse_debuff"    "Pain Curse Debuff"
		"DOTA_Tooltip_modifier_astaroth_pain_curse_debuff_description"    "Slowed."

	"DOTA_Tooltip_ability_astaroth_deathmark"    "Black Insignia"
	"DOTA_Tooltip_ability_astaroth_deathmark_description"    "Upon striking an opponent a number of times, he removes a portion of their Health and stuns them, gaining bonus attack speed and Pure damage on his attacks for a short time afterwards. While this ability is on cooldown, he cannot increment marks on any target."
	"DOTA_Tooltip_ability_astaroth_deathmark_hits"    "HITS:"
	"DOTA_Tooltip_ability_astaroth_deathmark_stun"    "STUN:"
	"DOTA_Tooltip_ability_astaroth_deathmark_duration"    "STACK DURATION:"
	"DOTA_Tooltip_ability_astaroth_deathmark_removal"    "%CURRENT HEALTH REMOVAL DAMAGE:"
	"DOTA_Tooltip_ability_astaroth_deathmark_attack_speed_bonus"    "ATTACK SPEED BONUS:"
	"DOTA_Tooltip_ability_astaroth_deathmark_bonus_damage"    "PURE DAMAGE BONUS:"
	"DOTA_Tooltip_ability_astaroth_deathmark_bonus_duration"    "BONUS DURATION:"
		"DOTA_Tooltip_modifier_astaroth_deathmark_buff"    "Black Insignia"
		"DOTA_Tooltip_modifier_astaroth_deathmark_buff_description"    "Gaining True Strike and %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% bonus attack speed, plus bonus Pure damage on attacks."
		"DOTA_Tooltip_modifier_astaroth_deathmark_stack"    "Black Insignia"
		"DOTA_Tooltip_modifier_astaroth_deathmark_stack_description"    "On the 5th strike, losing a percentage of current Health and being stunned."

	"DOTA_Tooltip_ability_astaroth_erase"    "Erase"
	"DOTA_Tooltip_ability_astaroth_erase_description"    "Astaroth calls upon Abyssal energies to slowly erase the target's existence, dealing damage to Health and Current Health, and Mana and Current Mana, over a large duration."
	"DOTA_Tooltip_ability_astaroth_erase_duration"    "DURATION:"
	"DOTA_Tooltip_ability_astaroth_erase_hp_damage"    "HEALTH DAMAGE:"
	"DOTA_Tooltip_ability_astaroth_erase_mana_damage"    "MANA DAMAGE:"
	"DOTA_Tooltip_ability_astaroth_erase_current_hp_damage"    "%CURRENT HEALTH DAMAGE:"
	"DOTA_Tooltip_ability_astaroth_erase_current_mana_damage"    "%CURRENT MANA DAMAGE:"
		"DOTA_Tooltip_modifier_erase"    "Erase"
		"DOTA_Tooltip_modifier_erase_description"    ""

///////////////////////////////////////////////////////
// Baal
///////////////////////////////////////////////////////

	"npc_dota_hero_arc_warden"    "Baal"
	"npc_dota_hero_arc_warden_bio"    "A being from a forgotten Plane, the creature known only as 'Baal' foresaw that which his kind did not; the End. In his dreams he saw fire descending upon his people, destroying all that he knew. His fears came to a head, and with the help of others, he put a plan in motion; before the cataclysmic event, he would drag his world into the next Plane, and deal with the consequences afterwards. The event began as his dream foretold: a being of light and fire had formed, infantile and oblivious, its light singeing the edges of his home. With a cry, he and his comrades used all of their might to push their home through the warping walls of the Plane. All seemed well, until the gap widened, and an unfathomable force tore at the Plane. His home began to crumble as it fell through, and he watched with horror as the being of fire was torn from its celestial cradle, its form washing over and searing all that he knew to ash. As he fell into this new plane, his anger and guilt consumed him, his physical form a self imposed prison for his transgressions against his own kind."
	"npc_dota_hero_arc_warden_hype"    "A positional manipulator as masterful as they are irritating, Baal's job is to constantly keep the enemy on their toes. Create a sphere that gradually slows enemies' attack and movement speed, anchor them to the ground with Spatiotemporal Anchor, teleport to a location after channelling with Spatial Rift, and enter a state of uncertainty to wreak havoc on your unsuspecting enemies with Superposition."


	"DOTA_Tooltip_ability_special_bonus_baal_1"    "+75 Spatial Rift Damage"

	"DOTA_Tooltip_ability_special_bonus_baal_2"    "-150 Spatiotemporal Anchor Radius"

	"DOTA_Tooltip_ability_special_bonus_baal_3"    "+2s Spatial Rift Slow"

	"DOTA_Tooltip_ability_special_bonus_baal_4"    "+20% Superposition Movespeed"

	"DOTA_Tooltip_ability_special_bonus_baal_5"    "Compression Sphere 80 DPS (Magical)"

	"DOTA_Tooltip_ability_special_bonus_baal_6"    "Superposition Grants Free Pathing"

	"DOTA_Tooltip_ability_baal_st_anchor"    "Spatiotemporal Anchor"
	"DOTA_Tooltip_ability_baal_st_anchor_description"    "Anchors the target enemy to a location.  When they move too far away from the location, they are stunned, take damage, and are teleported to it."
	"DOTA_Tooltip_ability_baal_st_anchor_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_baal_st_anchor_stun"    "STUN:"
	"DOTA_Tooltip_ability_baal_st_anchor_duration"    "DURATION:"
	"DOTA_Tooltip_ability_baal_st_anchor_slow"    "%SLOW:"
		"DOTA_Tooltip_modifier_st_anchor"    "Spatiotemporal Anchor"
		"DOTA_Tooltip_modifier_st_anchor_description"    "Being pulled back to the centre of the anchor radius when leaving it."

	"DOTA_Tooltip_ability_baal_spatial_rift"    "Spatial Rift"
	"DOTA_Tooltip_ability_baal_spatial_rift_description"    "After a 1 second channel time, creates a rift at the target location that deals damage and slows drastically."
	"DOTA_Tooltip_ability_baal_spatial_rift_duration"    "DURATION:"
	"DOTA_Tooltip_ability_baal_spatial_rift_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_baal_spatial_rift_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_baal_spatial_rift_slow"    "%SLOW:"
	"DOTA_Tooltip_ability_baal_spatial_rift_slow_duration"    "SLOW DURATION:"
		"DOTA_Tooltip_modifier_spatial_rift_slow"    "Spatial Rift"
		"DOTA_Tooltip_modifier_spatial_rift_slow_description"    "Being slowed drastically by rift."
		"DOTA_Tooltip_modifier_spatial_rift_display"    "Spatial Rift"
		"DOTA_Tooltip_modifier_spatial_rift_display_description"    "Can jump to a Rift with Port Out."

	"DOTA_Tooltip_ability_baal_compression_sphere"    "Compression Sphere"
